"video","internet","phone","age","income","HHsize","married","children"
79.409973145,42.5,0,28,1,1,0,0
83.913952637,53.7,0,40,6,1,0,0
81.838980103,30,12.5,48,3,3,0,1
67.071948242,29.4,0,50,7,4,1,1
82.819946289,40,10,68,7,3,1,0
113.94197998,55.6,16,60,5,5,1,0
29.728991699,36.5,25,46,6,3,1,1
6.4569946289,60.6,0,64,5,7,1,1
78.191967773,50.2,27.949996948,66,6,5,1,0
9.0683288574,67.041666667,0,52,3,2,1,0
184.35393066,38.4,0,64,7,3,1,0
7,0,0,18,3,2,1,0
57.491973877,35,15,52,1,1,0,0
105.34197998,48.6,23,50,9,4,1,1
152.41191406,3.6,0,50,6,2,1,0
33,10,0,60,5,3,0,1
30.74599762,0,25,96,3,2,0,0
102.27194824,0,0,54,1,5,1,0
125.29199219,0,0,94,9,2,1,0
97.809997559,50,3.75,46,6,6,1,1
74.651989746,0,8,86,1,2,0,1
81.648968506,30,0,40,4,2,1,0
66.809997559,65,0,42,5,5,0,1
78.597998047,39.3,26.25,68,1,3,1,0
50.409973145,35,0,38,4,5,1,1
69.845977783,41.4,0,62,6,1,0,0
22,40,15.25,28,2,1,0,0
65.609997559,0,9.15,52,1,1,0,0
71.441949463,0,0,74,8,2,1,0
86.771948242,46.4,0,56,9,4,1,1
29.728991699,35,0,52,4,2,0,1
30.991989136,35,0,72,1,1,0,0
110.58397217,52.2,22.949996948,30,1,2,0,0
66.809997559,55,0,24,2,1,0,0
51.745986938,30,25,50,2,2,1,0
72.845977783,25,20,66,1,2,0,1
54.055957031,62,0,66,5,2,1,0
83.569946289,45,0,36,8,2,1,0
69.061975098,0,0,60,6,3,1,0
78.197998047,35,20.25,60,6,2,1,0
153.42891846,47.709979248,12.494998932,54,4,2,0,0
32.423999023,0,0,58,5,2,0,0
126.77827962,35,10,44,6,6,1,1
21.631994629,45,0,46,3,1,0,0
85.659973145,35,10,42,1,3,0,1
88.328961182,37.709979248,0,28,6,1,0,0
93.126971436,41.8,16.5,48,6,4,1,1
